81 58 20 54 93 47 97 23 64 54 33 28 38 29 88 31 41 5 28 28 53 84 90 11 51 22 27 36 81 75 82 48 45 94 15 49 59 5 66 71 27 69 0 72 6 91 90 65 39 17 53 46 3 80 31 51 67 85 45 94 84 15 32 19 10 93 89 72 80 61 75 22 50 66 94 37 68 41 9 76 54 13 23 11 27 70 73 96 7 19 37 79 19 45 72 7 61
5 63 13 52 28 98 34 83 91 96 87 19 33 30 32 15 4 21 28 27 73 83 72 39 5 3 59 52 54 43 44 79 28 98 11 29 85 9 82 76 65 78 57 56 80 31 10 59 69 70 81 88 64 53 86 91 33 30 97 15 42 37 10 28 67 54 58 80 16 14 16 99 47 17 59 25 64 98 90 27 12 70 7 5 9 62 6 99 39 17 13 97 88 89 85 1 99
36 45 65 70 22 40 91 21 31 42 63 90 68 79 40 18 67 40 22 46 67 34 82 73 6 77 10 5 15 92 7 42 11 21 20 79 0 82 69 87 97 68 51 39 90 14 73 76 84 73 26 97 24 3 4 87 51 2 4 62 73 61 65 60 17 82 29 63 37 6 33 18 77 84 84 5 28 75 48 40 3 83 25 28 46 17 40 73 22 12 98 2 54 7 36 94 76
97 40 91 15 23 49 66 68 13 82 43 6 81 95 65 86 57 2 63 54 35 36 6 53 6 11 59 13 73 27 33 36 37 53 99 94 26 5 22 67 43 60 51 21 18 71 58 75 61 10 53 17 91 37 39 54 77 95 6 19 34 36 26 77 54 48 29 59 17 63 52 74 0 41 59 22 81 61 98 56 25 56 96 45 67 46 46 24 95 75 83 37 71 57 91 84 7
64 70 53 33 40 76 98 91 71 41 49 46 4 43 9 69 88 28 79 5 53 58 89 44 4 32 5 80 65 7 15 94 37 23 51 20 50 71 55 59 99 86 64 59 88 52 4 6 62 29 11 40 49 90 65 74 83 68 84 82 46 52 15 90 15 0 78 54 53 89 92 52 35 85 19 46 92 68 34 28 25 19 20 37 2 78 73 12 9 83 74 94 44 70 38 65 63
79 9 81 70 98 98 1 4 18 62 38 28 6 20 38 55 72 26 3 74 94 49 49 97 40 84 50 95 4 65 62 16 61 53 24 61 18 24 20 38 57 14 14 76 0 73 19 87 91 38 70 14 32 32 43 81 28 3 93 72 63 93 5 94 11 23 29 39 18 61 8 18 88 29 75 58 40 83 57 24 55 59 22 45 65 42 54 79 55 33 68 70 3 44 53 55 86
38 23 67 24 97 25 71 79 98 76 22 32 54 16 10 20 30 82 43 70 11 88 62 31 15 94 1 53 10 68 17 24 86 8 57 24 83 16 19 19 9 36 37 75 66 32 75 84 25 8 31 61 99 72 61 64 69 39 95 37 79 46 93 35 67 38 54 58 67 58 26 94 38 86 24 76 17 16 52 91 21 47 60 94 67 61 1 67 77 7 76 0 0 96 42 65 35
51 46 69 80 16 16 98 12 40 57 40 11 24 12 12 82 79 57 65 7 52 14 75 83 75 21 95 38 37 2 82 6 82 12 62 13 17 30 41 21 79 23 6 27 71 57 33 54 97 36 34 88 48 91 16 52 52 40 68 88 98 36 69 97 21 11 57 96 80 6 75 1 65 8 83 52 65 24 47 35 22 90 39 99 96 83 60 59 52 50 57 14 91 41 15 83 46
84 90 49 17 16 44 4 64 27 18 0 22 99 46 81 99 18 50 80 87 31 92 15 67 13 74 68 60 95 42 34 93 66 40 77 34 92 49 1 23 16 22 87 83 79 36 26 34 31 94 33 12 21 45 63 77 77 23 96 32 78 55 66 9 73 36 46 23 6 17 96 96 62 59 12 23 88 88 62 36 62 94 91 86 61 71 80 69 58 72 69 99 38 66 75 11 89
81 52 49 48 71 3 28 2 90 41 92 49 97 87 46 86 45 27 76 55 95 52 65 69 1 68 95 84 35 92 23 57 84 11 78 36 37 80 24 29 76 77 81 75 90 88 90 42 26 55 13 88 20 37 26 32 91 59 12 4 90 62 44 95 92 54 97 78 73 4 79 67 15 66 19 54 57 51 24 75 74 31 92 16 44 50 61 27 1 39 84 78 61 20 35 65 85
